Start Time,Thu Nov 24 15-29-54 2011,Offset,15:29:55 minus 884 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 5, 6, 6, 17, 17, 1, 0, 2, 4513, 2989, 3460,
001,2,2, 9, 3, 5, 17, 17, 1, 0, 2, 10137, 3659, 4045,
001,2,3, 7, 3, 4, 14, 14, 1, 0, 2, 15810, 1515, 1923,
001,2,4, 7, 5, 7, 19, 19, 1, 0, 2, 21484, 1938, 2945,
001,2,5, 9, 3, 3, 15, 15, 1, 0, 2, 27156, 2522, 2866,
001,2,6, 3, 1, 2, 6, 6, 1, 0, 1, 32812, 2107, 2307,
001,2,7, 3, 1, 7, 11, 11, 1, 0, 2, 38468, 1642, 1939,
001,2,8, 2, 6, 1, 9, 9, 1, 0, 5, 44123, 1747, 3156,
001,2,9, 1, 4, 8, 13, 13, 1, 0, 2, 49793, 2190, 2549,
001,2,10, 4, 8, 4, 16, 16, 1, 0, 2, 55449, 1821, 2230,
001,2,11, 4, 9, 6, 19, 19, 1, 0, 2, 61071, 2888, 3231,
001,2,12, 8, 3, 3, 14, 14, 1, 0, 2, 66726, 2617, 3080,
001,2,13, 3, 5, 1, 9, 9, 1, 0, 1, 72398, 2241, 2466,
001,2,14, 1, 7, 8, 16, 16, 1, 0, 2, 78020, 2107, 2460,
001,2,15, 6, 7, 8, 21, 21, 1, 0, 2, 83644, 2644, 3011,
001,2,16, 6, 4, 7, 17, 17, 1, 0, 2, 89316, 1388, 1979,
001,2,17, 8, 7, 8, 23, 0, 2, 1, 1, 94972, 5004, 5004,
001,2,18, 2, 6, 6, 14, 14, 1, 0, 2, 100653, 2450, 2770,
001,2,19, 2, 2, 1, 5, 5, 1, 0, 1, 106327, 1192, 1418,
001,2,20, 1, 1, 5, 7, 7, 1, 0, 1, 111998, 1331, 1611,
001,2,21, 9, 7, 3, 19, 0, 2, 1, 1, 117670, 5003, 5003,
001,2,22, 1, 3, 5, 9, 9, 1, 0, 1, 123348, 3581, 3779,
001,2,23, 8, 6, 8, 22, 22, 1, 0, 2, 129019, 2349, 2614,
001,2,24, 1, 9, 5, 15, 15, 1, 0, 2, 134645, 1532, 1819,
001,2,25, 5, 7, 8, 20, 20, 1, 0, 2, 140256, 3025, 3410,
001,2,26, 4, 5, 1, 10, 10, 1, 0, 2, 145912, 1681, 2024,
001,2,27, 1, 3, 7, 11, 11, 1, 0, 2, 151585, 1608, 1880,
001,2,28, 8, 8, 7, 23, 23, 1, 0, 2, 157206, 4356, 4628,
001,2,29, 2, 4, 2, 8, 8, 1, 0, 1, 162877, 2493, 2693,
001,2,30, 1, 5, 2, 8, 8, 1, 0, 1, 168498, 2159, 2384,
001,2,31, 1, 2, 9, 12, 12, 1, 0, 2, 174121, 1952, 2280,
001,2,32, 8, 5, 9, 22, 23, 0, 0, 2, 179777, 3864, 4145,
001,2,33, 7, 9, 6, 22, 0, 2, 1, 1, 185450, 5003, 5003,
001,2,34, 2, 3, 7, 12, 12, 1, 0, 2, 191127, 1634, 1947,
001,2,35, 2, 7, 9, 18, 19, 0, 0, 2, 196782, 2237, 2549,
001,2,36, 8, 5, 7, 20, 20, 1, 0, 2, 202454, 4149, 4453,
