Start Time,Wed Nov 23 11-34-15 2011,Offset,11:34:16 minus 475 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 5, 6, 6, 17, 0, 2, 1, 1, 5228, 5003, 5003,
001,2,2, 9, 3, 5, 17, 0, 2, 1, 1, 10909, 5003, 5003,
001,2,3, 7, 3, 4, 14, 1, 0, 0, 1, 16588, 2, 2752,
001,2,4, 7, 5, 7, 19, 19, 1, 0, 2, 22256, 2611, 2978,
001,2,5, 9, 3, 3, 15, 15, 1, 0, 2, 27913, 1922, 2371,
001,2,6, 3, 1, 2, 6, 6, 1, 0, 1, 33569, 1778, 2105,
001,2,7, 3, 1, 7, 11, 11, 1, 0, 2, 39192, 3946, 4282,
001,2,8, 2, 6, 1, 9, 9, 1, 0, 1, 44866, 2073, 2377,
001,2,9, 1, 4, 8, 13, 11, 2, 1, 3, 50521, 3443, 5002,
001,2,10, 4, 8, 4, 16, 16, 1, 0, 2, 56198, 3901, 4302,
001,2,11, 4, 9, 6, 19, 19, 1, 0, 2, 61871, 3878, 4374,
001,2,12, 8, 3, 3, 14, 14, 1, 0, 2, 67544, 2395, 2796,
001,2,13, 3, 5, 1, 9, 9, 1, 0, 1, 73215, 2012, 2285,
001,2,14, 1, 7, 8, 16, 16, 1, 0, 2, 78860, 1815, 2136,
001,2,15, 6, 7, 8, 21, 0, 2, 1, 1, 84516, 5003, 5003,
001,2,16, 6, 4, 7, 17, 17, 1, 0, 2, 90195, 4009, 4474,
001,2,17, 8, 7, 8, 23, 23, 1, 0, 2, 95868, 4440, 4714,
001,2,18, 2, 6, 6, 14, 14, 1, 0, 2, 101541, 1600, 1976,
001,2,19, 2, 2, 1, 5, 5, 1, 0, 1, 107163, 1938, 2170,
001,2,20, 1, 1, 5, 7, 7, 1, 0, 1, 112818, 1724, 2027,
001,2,21, 9, 7, 3, 19, 19, 1, 0, 2, 118441, 2819, 3204,
001,2,22, 1, 3, 5, 9, 9, 1, 0, 1, 124114, 1931, 2211,
001,2,23, 8, 6, 8, 22, 22, 1, 0, 2, 129768, 3157, 3486,
001,2,24, 1, 9, 5, 15, 15, 1, 0, 2, 135439, 2095, 2423,
001,2,25, 5, 7, 8, 20, 0, 2, 1, 1, 141045, 5002, 5002,
001,2,26, 4, 5, 1, 10, 10, 1, 0, 2, 146722, 2445, 2853,
001,2,27, 1, 3, 7, 11, 11, 1, 0, 2, 152395, 3060, 3396,
001,2,28, 8, 8, 7, 23, 23, 1, 0, 2, 158070, 1905, 2200,
001,2,29, 2, 4, 2, 8, 8, 1, 0, 1, 163726, 2145, 2497,
001,2,30, 1, 5, 2, 8, 8, 1, 0, 1, 169399, 2511, 2816,
001,2,31, 1, 2, 9, 12, 12, 1, 0, 2, 175054, 2233, 2569,
001,2,32, 8, 5, 9, 22, 17, 0, 0, 2, 180687, 4048, 4528,
001,2,33, 7, 9, 6, 22, 23, 0, 0, 2, 186362, 4509, 4757,
001,2,34, 2, 3, 7, 12, 12, 1, 1, 3, 192035, 4421, 5003,
001,2,35, 2, 7, 9, 18, 18, 1, 0, 2, 197714, 3534, 4077,
001,2,36, 8, 5, 7, 20, 20, 1, 0, 2, 203387, 3173, 3541,
