Start Time,Thu Nov 24 10-53-35 2011,Offset,10:53:36 minus 1098 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 95, 73, 87, 255, 255, 1, 0, 3, 4684, 4755, 5996,
001,2,2, 54, 11, 39, 104, 104, 1, 0, 3, 15359, 3720, 4705,
001,2,3, 72, 87, 63, 222, 222, 1, 0, 3, 26034, 2630, 3205,
001,2,4, 33, 82, 11, 126, 126, 1, 0, 3, 36692, 3357, 4116,
001,2,5, 71, 73, 35, 179, 179, 1, 0, 3, 47367, 3978, 4986,
001,2,6, 25, 16, 11, 52, 52, 1, 0, 2, 58041, 2640, 3087,
001,2,7, 32, 79, 89, 200, 200, 1, 0, 3, 68716, 3973, 4812,
001,2,8, 85, 87, 85, 257, 257, 1, 0, 3, 79390, 4460, 5924,
001,2,9, 62, 37, 69, 168, 168, 1, 0, 3, 90048, 4522, 5482,
001,2,10, 39, 43, 29, 111, 111, 1, 0, 3, 100723, 4247, 5039,
001,2,11, 95, 13, 32, 140, 140, 1, 0, 3, 111397, 3646, 4438,
001,2,12, 88, 26, 55, 169, 169, 1, 0, 3, 122020, 5470, 6614,
001,2,13, 33, 79, 65, 177, 177, 1, 0, 3, 132695, 5021, 6141,
001,2,14, 85, 67, 31, 183, 183, 1, 0, 3, 143372, 4687, 5744,
001,2,15, 47, 48, 33, 128, 128, 1, 0, 3, 154047, 5149, 6357,
001,2,16, 14, 87, 27, 128, 128, 1, 0, 3, 164722, 5170, 5978,
001,2,17, 48, 88, 45, 181, 181, 1, 0, 3, 175398, 4261, 5311,
001,2,18, 23, 16, 71, 110, 110, 1, 0, 3, 186072, 4501, 5141,
