"Start Time","Thu Nov 24 13:30:38 2011","13:30:37 minus 77 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5694,"barber",0,575,"3",1
8106,"plaster",0,770,"3",1
10515,"essay",0,825,"3",1
12924,"barber",3,768,"1",1
15335,"plaster",3,1038,"1",1
17744,"barber",2,892,"3",1
20154,"currency",0,883,"3",1
22564,"plaster",3,929,"3",0
24973,"quarry",0,816,"3",1
27382,"currency",3,1174,"3",0
29792,"currency",1,1573,"3",1
32201,"currency",2,876,"1",0
34610,"barber",0,1211,"3",1
37021,"energy",0,1240,"3",1
39431,"barber",2,1894,"3",1
41840,"disturb",0,1477,"3",1
44251,"energy",3,1370,"1",1
46660,"disturb",2,1209,"1",0
49071,"energy",2,982,"3",1
51480,"sofa",0,974,"3",1
53889,"disturb",3,1252,"3",0
56299,"sofa",2,1164,"3",1
58709,"energy",0,873,"3",1
61119,"essay",0,1162,"3",1
63528,"sofa",3,1254,"1",1
65938,"essay",2,1252,"3",1
68348,"disturb",0,1234,"3",1
70757,"sofa",3,1329,"3",0
73168,"currency",0,914,"3",1
75578,"energy",0,956,"3",1
77987,"plaster",0,875,"3",1
80397,"currency",3,1001,"3",0
82805,"sofa",0,1460,"3",1
85214,"disturb",0,1360,"3",1
87624,"plaster",0,919,"3",1
90033,"plaster",1,1237,"3",1
92442,"disturb",3,1645,"1",1
94852,"sofa",0,1299,"3",1
97262,"essay",0,817,"3",1
99672,"essay",1,758,"3",1
102083,"quarry",0,908,"3",1
104493,"currency",0,867,"3",1
106903,"quarry",2,1304,"1",0
109312,"essay",0,1407,"3",1
111721,"quarry",2,1614,"3",1
114130,"currency",0,1453,"3",1
116540,"essay",3,1315,"3",0
118949,"barber",0,1402,"3",1
121359,"currency",3,1225,"3",0
123769,"essay",3,1014,"3",0
126178,"barber",3,1614,"3",0
128589,"disturb",0,1378,"3",1
130999,"disturb",1,1184,"3",1
133408,"barber",3,727,"1",1
135817,"sofa",0,935,"3",1
138226,"disturb",3,591,"1",1
140634,"sofa",2,1150,"3",1
143044,"barber",0,844,"3",1
145453,"plaster",0,795,"3",1
147863,"sofa",3,737,"1",1
150272,"quarry",0,681,"3",1
152681,"essay",0,824,"3",1
155090,"barber",0,934,"3",1
157501,"quarry",3,755,"1",1
159911,"essay",3,537,"1",1
162321,"energy",0,721,"3",1
164730,"quarry",3,649,"1",1
167140,"energy",2,740,"1",0
169550,"plaster",0,842,"3",1
171961,"quarry",3,935,"1",1
174370,"energy",3,743,"1",1
176779,"plaster",3,1054,"3",0
179188,"plaster",1,1245,"3",1
181597,"energy",3,747,"1",1
184007,"quarry",0,1258,"3",1
